epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,16390.3203125
0,1,15547.9599609375,,
1,3,,,16387.46484375
1,3,15545.1142578125,,
2,5,,,16384.59765625
2,5,15542.3271484375,,
3,7,,,16381.7158203125
3,7,15539.490234375,,
4,9,,,16378.810546875
4,9,15536.66796875,,
5,11,,,16375.8837890625
5,11,15533.8056640625,,
6,13,,,16372.923828125
6,13,15530.9150390625,,
7,15,,,16369.9287109375
7,15,15527.962890625,,
8,17,,,16366.88671875
8,17,15525.0654296875,,
9,19,,,16363.798828125
9,19,15522.015625,,
10,21,,,16360.6474609375
10,21,15518.9853515625,,
11,23,,,16357.4423828125
11,23,15515.8740234375,,
12,25,,,16354.1591796875
12,25,15512.7255859375,,
13,27,,,16350.7998046875
13,27,15509.44140625,,
14,29,,,16347.3525390625
14,29,15506.1376953125,,
15,31,,,16343.8125
15,31,15502.7353515625,,
16,33,,,16340.1650390625
16,33,15499.263671875,,
17,35,,,16336.4072265625
17,35,15495.66796875,,
18,37,,,16332.5302734375
18,37,15491.939453125,,
19,39,,,16328.5224609375
19,39,15488.091796875,,
20,41,,,16324.369140625
20,41,15484.189453125,,
21,43,,,16320.0654296875
21,43,15480.103515625,,
22,45,,,16315.60546875
22,45,15475.830078125,,
23,47,,,16310.9775390625
23,47,15471.3896484375,,
24,49,,16424.4375,
24,49,,,16306.1650390625
24,49,15466.8056640625,,
25,51,,,16301.146484375
25,51,15462.068359375,,
26,53,,,16295.9150390625
26,53,15457.091796875,,
27,55,,,16290.451171875
27,55,15451.9521484375,,
28,57,,,16284.7392578125
28,57,15446.568359375,,
29,59,,,16278.76953125
29,59,15440.9189453125,,
30,61,,,16272.51171875
30,61,15435.0947265625,,
31,63,,,16265.9560546875
31,63,15428.87890625,,
32,65,,,16259.07421875
32,65,15422.4345703125,,
33,67,,,16251.8447265625
33,67,15415.68359375,,
34,69,,,16244.2568359375
34,69,15408.50390625,,
35,71,,,16236.2548828125
35,71,15401.08984375,,
36,73,,,16227.83203125
36,73,15393.1318359375,,
