city,time,temperature_2m_max,temperature_2m_min,precipitation_sum
Berlin,2026-06-04,21.6,13.8,4.7
Berlin,2026-06-05,22.4,14.9,0.0
Berlin,2026-06-06,24.2,12.8,0.0
Berlin,2026-06-07,19.6,15.2,7.7
Berlin,2026-06-08,24.3,14.1,0.0
Berlin,2026-06-09,22.2,15.3,5.4
Berlin,2026-06-10,20.4,11.5,0.6
London,2026-06-04,18.6,13.6,4.8
London,2026-06-05,17.5,11.9,0.1
London,2026-06-06,19.2,11.4,5.97
London,2026-06-07,21.4,13.0,0.0
London,2026-06-08,17.7,13.8,6.8
London,2026-06-09,17.3,11.0,0.4
London,2026-06-10,16.9,11.0,1.15
New York,2026-06-04,31.5,16.1,0.0
New York,2026-06-05,35.1,17.7,0.0
New York,2026-06-06,31.7,21.4,0.6
New York,2026-06-07,30.1,20.7,1.4
New York,2026-06-08,25.2,16.7,0.3
New York,2026-06-09,28.6,17.1,0.0
New York,2026-06-10,30.3,19.8,0.0
Tokyo,2026-06-04,21.9,17.9,0.0
Tokyo,2026-06-05,21.3,15.6,0.0
Tokyo,2026-06-06,23.3,15.3,0.0
Tokyo,2026-06-07,23.7,17.1,18.6
Tokyo,2026-06-08,25.3,18.5,16.4
Tokyo,2026-06-09,24.8,19.3,5.8
Tokyo,2026-06-10,26.2,18.1,3.6
