epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,0.7003800868988037
0,1,0.6969187259674072,,
1,3,,,0.6991561055183411
1,3,0.6954287886619568,,
2,5,,,0.6978970170021057
2,5,0.6941449642181396,,
3,7,,,0.6966797709465027
3,7,0.692738950252533,,
4,9,,,0.6955484747886658
4,9,0.6912857890129089,,
5,11,,,0.6943924427032471
5,11,0.6900138854980469,,
6,13,,,0.6932355761528015
6,13,0.6887127161026001,,
7,15,,,0.692089855670929
7,15,0.6874116063117981,,
8,17,,,0.6909549236297607
8,17,0.6860373020172119,,
9,19,,,0.689824104309082
9,19,0.6847437620162964,,
10,21,,,0.6886880397796631
10,21,0.6834583282470703,,
11,23,,,0.6875452399253845
11,23,0.6822362542152405,,
12,25,,,0.686448335647583
12,25,0.6808444857597351,,
13,27,,,0.6853296160697937
13,27,0.6795331239700317,,
14,29,,,0.6842117309570312
14,29,0.678216278553009,,
15,31,,,0.683078408241272
15,31,0.6770917773246765,,
16,33,,,0.681996762752533
16,33,0.6755456328392029,,
17,35,,,0.6808950304985046
17,35,0.6742393374443054,,
18,37,,,0.6797755360603333
18,37,0.6728857755661011,,
19,39,,,0.6786709427833557
19,39,0.6715692281723022,,
20,41,,,0.6775640249252319
20,41,0.6700975894927979,,
21,43,,,0.6764608025550842
21,43,0.6686315536499023,,
22,45,,,0.675329327583313
22,45,0.6672104001045227,,
23,47,,,0.6742005944252014
23,47,0.6656799912452698,,
24,49,,0.6633324027061462,
24,49,,,0.6730532050132751
24,49,0.6641374826431274,,
25,51,,,0.6718706488609314
25,51,0.6626501679420471,,
26,53,,,0.6706396341323853
26,53,0.6611663699150085,,
27,55,,,0.6694470047950745
27,55,0.6594155430793762,,
28,57,,,0.6682313680648804
28,57,0.657809853553772,,
29,59,,,0.6669942736625671
29,59,0.6560524106025696,,
30,61,,,0.6657350063323975
30,61,0.6543747186660767,,
31,63,,,0.6644509434700012
31,63,0.6525987982749939,,
32,65,,,0.6631712317466736
32,65,0.6506723761558533,,
33,67,,,0.6618373990058899
33,67,0.6489308476448059,,
34,69,,,0.6604983806610107
34,69,0.6469659805297852,,
35,71,,,0.659148633480072
35,71,0.644980788230896,,
36,73,,,0.6577630639076233
36,73,0.6428726315498352,,
37,75,,,0.6563681364059448
37,75,0.640879213809967,,
38,77,,,0.6549575328826904
38,77,0.6387414336204529,,
39,79,,,0.6535149216651917
39,79,0.6365507245063782,,
40,81,,,0.6521090269088745
40,81,0.6340803503990173,,
41,83,,,0.6506446599960327
41,83,0.6319974660873413,,
42,85,,,0.6491572260856628
42,85,0.6296056509017944,,
43,87,,,0.6477090716362
43,87,0.6270087957382202,,
44,89,,,0.6462094187736511
44,89,0.6245110034942627,,
45,91,,,0.6447175741195679
45,91,0.6219923496246338,,
46,93,,,0.6432058215141296
46,93,0.6194583773612976,,
47,95,,,0.6417058706283569
47,95,0.6165397763252258,,
48,97,,,0.6401587724685669
48,97,0.6140060424804688,,
49,99,,0.6037296652793884,
49,99,,,0.6386507749557495
49,99,0.6109294891357422,,
50,101,,,0.6371382474899292
50,101,0.608229398727417,,
51,103,,,0.6356335878372192
51,103,0.6050978302955627,,
52,105,,,0.6341139674186707
52,105,0.6021149754524231,,
53,107,,,0.6326166987419128
53,107,0.5989712476730347,,
54,109,,,0.6311323642730713
54,109,0.5955839157104492,,
55,111,,,0.6297028064727783
55,111,0.5924948453903198,,
56,113,,,0.6282520890235901
56,113,0.5891410708427429,,
57,115,,,0.6268717050552368
57,115,0.5858846306800842,,
58,117,,,0.6255258917808533
58,117,0.5822467803955078,,
59,119,,,0.6242496371269226
59,119,0.5789210200309753,,
60,121,,,0.6230360865592957
60,121,0.5753672122955322,,
61,123,,,0.6219249963760376
61,123,0.5715734362602234,,
62,125,,,0.6209056973457336
62,125,0.5679784417152405,,
63,127,,,0.6199914813041687
63,127,0.5644095540046692,,
64,129,,,0.6192141771316528
64,129,0.5605737566947937,,
65,131,,,0.618590772151947
65,131,0.5569502711296082,,
66,133,,,0.6180447936058044
66,133,0.5530235171318054,,
67,135,,,0.6177030205726624
67,135,0.5495722889900208,,
68,137,,,0.6176022887229919
68,137,0.5459578037261963,,
69,139,,,0.6174513697624207
69,139,0.5421218872070312,,
70,141,,,0.6172950267791748
70,141,0.5383260250091553,,
71,143,,,0.617356538772583
71,143,0.5345824956893921,,
72,145,,,0.6176978945732117
72,145,0.5308951735496521,,
73,147,,,0.6176683306694031
73,147,0.5270652174949646,,
74,149,,0.5470210909843445,
74,149,,,0.617347002029419
74,149,0.5238351225852966,,
75,151,,,0.6171423196792603
75,151,0.5196810364723206,,
76,153,,,0.6167714595794678
76,153,0.5161431431770325,,
77,155,,,0.6163488626480103
77,155,0.5120084285736084,,
78,157,,,0.6162410974502563
78,157,0.5082863569259644,,
79,159,,,0.6159888505935669
79,159,0.5043396949768066,,
