epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,18723.48828125
0,1,17038.341796875,,
1,3,,,18213.4375
1,3,16565.16015625,,
2,5,,,17719.705078125
2,5,16111.587890625,,
3,7,,,17243.15234375
3,7,15707.3212890625,,
4,9,,,16780.087890625
4,9,15343.810546875,,
5,11,,,16332.27734375
5,11,14919.1611328125,,
6,13,,,15897.05859375
6,13,14519.98828125,,
7,15,,,15474.1416015625
7,15,14117.18359375,,
8,17,,,15062.1962890625
8,17,13783.6083984375,,
9,19,,,14659.5205078125
9,19,13423.06640625,,
10,21,,,14267.6044921875
10,21,13079.427734375,,
11,23,,,13883.8017578125
11,23,12757.541015625,,
12,25,,,13508.4365234375
12,25,12416.5400390625,,
13,27,,,13141.5361328125
13,27,12100.2353515625,,
14,29,,,12780.994140625
14,29,11732.9755859375,,
15,31,,,12426.9892578125
15,31,11434.25,,
16,33,,,12079.365234375
16,33,11150.12890625,,
17,35,,,11737.0166015625
17,35,10864.65234375,,
18,37,,,11400.8779296875
18,37,10528.62109375,,
19,39,,,11070.15625
19,39,10272.21484375,,
20,41,,,10744.0400390625
20,41,9995.1982421875,,
21,43,,,10423.3623046875
21,43,9676.591796875,,
22,45,,,10107.375
22,45,9421.34765625,,
23,47,,,9795.9912109375
23,47,9141.98828125,,
24,49,,8681.7314453125,
24,49,,,9489.7080078125
24,49,8856.984375,,
25,51,,,9188.990234375
25,51,8595.4599609375,,
26,53,,,8891.900390625
26,53,8319.80859375,,
27,55,,,8600.06640625
27,55,8065.8515625,,
28,57,,,8313.9169921875
28,57,7849.47216796875,,
29,59,,,8032.205078125
29,59,7559.734375,,
30,61,,,7755.83349609375
30,61,7315.935546875,,
31,63,,,7485.1201171875
31,63,7078.734375,,
32,65,,,7219.33935546875
32,65,6820.33544921875,,
33,67,,,6958.7685546875
33,67,6609.58740234375,,
34,69,,,6704.08251953125
34,69,6384.16162109375,,
35,71,,,6455.2646484375
35,71,6159.55810546875,,
36,73,,,6212.11865234375
36,73,5936.0947265625,,
37,75,,,5975.28125
37,75,5730.19287109375,,
38,77,,,5743.79443359375
38,77,5530.3310546875,,
39,79,,,5517.66259765625
39,79,5308.267578125,,
40,81,,,5297.2431640625
40,81,5123.7666015625,,
41,83,,,5083.7646484375
41,83,4924.98974609375,,
42,85,,,4876.072265625
42,85,4736.19189453125,,
43,87,,,4673.96240234375
43,87,4543.41455078125,,
44,89,,,4478.55419921875
44,89,4354.08837890625,,
45,91,,,4288.8466796875
45,91,4175.216796875,,
46,93,,,4105.541015625
46,93,4015.879150390625,,
47,95,,,3928.12060546875
47,95,3852.70751953125,,
48,97,,,3756.676513671875
48,97,3697.84375,,
49,99,,3656.90625,
49,99,,,3590.965087890625
49,99,3559.71142578125,,
50,101,,,3431.043212890625
50,101,3384.611572265625,,
51,103,,,3276.637451171875
51,103,3244.2900390625,,
52,105,,,3127.703857421875
52,105,3111.6875,,
53,107,,,2984.155029296875
53,107,2971.729248046875,,
54,109,,,2846.07763671875
54,109,2832.38330078125,,
55,111,,,2713.15625
55,111,2724.831787109375,,
56,113,,,2585.772705078125
56,113,2567.403564453125,,
57,115,,,2463.382568359375
57,115,2483.505126953125,,
58,117,,,2346.058837890625
58,117,2356.4951171875,,
59,119,,,2233.192626953125
59,119,2261.511962890625,,
60,121,,,2125.387939453125
60,121,2147.891845703125,,
